      1 Solemya pervernicosa
      1 Solemya pervernicosa
      1 Solemya pervernicosa
      1 Solemya pervernicosa
      1 Solirubrobacterales bacterium
      1 Sphingobacterium paucimobilis
      1 Sphingobacterium paucimobilis
      1 Sphingobacterium paucimobilis
      1 Sphingobacterium paucimobilis
      1 Sphingomonas koreensis
      1 Sphingomonas koreensis
      1 Sphingomonas koreensis
      1 Sphingomonas melonis
      1 Sphingomonas melonis
      1 Sphingomonas melonis
      1 Sphingomonas sediminicola
      1 Sphingomonas sediminicola
      1 Sphingomonas sediminicola
      1 Sphingomonas sediminicola
      1 Sphingomonas sediminicola
      1 Sphingomonas sediminicola
      1 Spirochaeta sp.
      1 Spirochaeta sp.
      1 Spirochaeta sp.
      1 Spirochaeta sp.
      1 Staphylococcus gallinarum
      1 Staphylococcus saccharolyticus
      1 Staphylococcus saccharolyticus
      1 Staphylococcus saccharolyticus
      1 Staphylococcus sp.
      1 Staphylococcus sp.
      1 Staphylococcus sp.
      1 Staphylococcus sp.
      1 Staphylococcus sp.
      1 Staphylococcus sp.
      1 Staphylococcus sp.
